Palavras;Frequência
 RFID;13
 Supply chain management;4
 GIS;3
 GPS;3
 Harvesting;3
 Innovation;3
 radio frequency identification;3
 Rfid tags;3
 Sugarcane;3
 Taguchi methods;3
 Transport;3
 ZigBee;3
Electronic cane consignment;3
 Evaluation;2
 Guidelines for packaging;2
 Harvest facility;2
 passive tags;2
 Radio frequency identification (RFID);2
 Reverse logistics;2
 Solid Waste;2
 Supply chain;2
 traceability;2
Beef chain;2
RFID;2
 China;1
 Closed loops;1
 CMOS integrated circuit design;1
 Communication technologies;1
 Computer applications;1
 Consumer privacy.;1
 Context;1
 Data processing;1
 Design of experiments;1
 Developing Countries;1
 Domain engineering;1
 Elementary PNRD;1
 Embedded systems;1
 Environmental engineering;1
 EPCglobal;1
 EPCglobal Network;1
 EPCIS;1
 E-waste;1
 Garbage;1
 Identification;1
 Identification technology;1
 Industry;1
 Information management;1
 Information services;1
 Information systems;1
 Information technology;1
 internet of things;1
 Legislation;1
 logistic;1
 Logistics;1
 Manufacturing systems;1
 Mobile Technology;1
 Network management;1
 NGN;1
 NoSQL;1
 Operations;1
 Petri net;1
 Radiofrequencies;1
 Real-time;1
 RFID design of experiments;1
 RFID physical simulation environment;1
 Rfid systems;1
 Risk;1
 Software product line;1
 Software product lines;1
 Supervision;1
 Tag data structure;1
 Technological cooperation;1
 Tracking;1
 Transponders;1
 WDM optical networks;1
 Wi-Fi;1
 Wireless;1
 wireless communication;1
analog front-end (AFE);1
Anti-collision simulation algorithms;1
Automobile industry;1
Beef supply chain;1
Brazil;1
Case studies.;1
Cattle supply chain;1
cell manufacturing;1
cloud computing;1
cmos integrated circuit design;1
Communication technologies;1
DEMIS;1
Design of experiments;1
Domain analysis;1
Domain engineering;1
EPC;1
E-waste;1
Guidelines for packaging;1
Innovation networks;1
Inventory evaluation management;1
Middleware;1
